seq	TSS	strand	nTAGs	isreal
chr10	  67523	+	     4	TRUE
chr10	  68139	+	     2	TRUE
chr10	  68246	+	     1	TRUE
chr10	  68809	+	     1	TRUE
chr10	  69393	+	     1	TRUE
chr10	  70067	+	     3	TRUE
chr10	  71038	+	     2	TRUE
chr10	  71047	+	     1	TRUE
chr10	  75213	+	     2	TRUE
chr10	  75219	+	     1	TRUE
chr10	  75234	+	     1	TRUE
chr10	  75239	+	     1	TRUE
chr10	  75246	+	     1	TRUE
chr10	  75250	+	     5	TRUE
chr10	  75353	+	     4	TRUE
chr10	  75470	+	     2	TRUE
chr10	  75483	+	     5	TRUE
chr10	  75489	+	     3	TRUE
chr10	  75509	+	     3	TRUE
chr10	  75515	+	     1	TRUE
chr10	  75539	+	    15	TRUE
chr10	  76021	+	     3	TRUE
chr10	  76040	+	     5	TRUE
chr10	  76120	+	     2	TRUE
chr10	  76131	+	     3	TRUE
chr10	  76142	+	     4	TRUE
chr10	  76753	+	     3	TRUE
chr10	  77889	+	     2	TRUE
chr10	  79116	+	     5	TRUE
chr10	  79720	+	     2	TRUE
chr10	  79833	+	     1	TRUE
chr10	  80748	+	     1	TRUE
chr10	  96551	+	     1	TRUE
chr10	  96554	+	     3	TRUE
chr10	  96598	+	     4	TRUE
chr10	  98052	+	     6	TRUE
chr10	  98119	+	     5	TRUE
chr10	 102880	+	     1	TRUE
chr10	 105623	+	     3	TRUE
chr10	 105626	+	     1	TRUE
chr10	 105651	+	     3	TRUE
chr10	 107616	+	     3	TRUE
chr10	 107878	+	     2	TRUE
chr10	 108823	+	     1	TRUE
chr10	 111745	+	     1	TRUE
chr10	 111934	+	     8	TRUE
chr10	 112553	+	     2	TRUE
chr10	 113268	+	     3	TRUE
chr10	 113289	+	     2	TRUE
chr10	 113336	+	     5	TRUE
chr10	 184180	+	     8	TRUE
chr10	 184811	+	     1	TRUE
chr10	 185467	+	     1	TRUE
chr10	 189012	+	     3	TRUE
chr10	 191526	+	     5	TRUE
chr10	 191531	+	     5	TRUE
chr10	 191702	+	     2	TRUE
chr10	 191874	+	     3	TRUE
chr10	 192052	+	     2	TRUE
chr10	 197810	+	     1	TRUE
chr10	 197819	+	     1	TRUE
chr10	 197820	+	     1	TRUE
chr10	 197822	+	     1	TRUE
chr10	 203055	+	     1	TRUE
chr10	 217509	+	     2	TRUE
chr10	 224315	+	     1	TRUE
chr10	 252143	+	     2	TRUE
chr10	 252145	+	     1	TRUE
chr10	 252152	+	     8	TRUE
chr10	 252384	+	     2	TRUE
chr10	 252438	+	     3	TRUE
chr10	 252479	+	     1	TRUE
chr10	 252484	+	     4	TRUE
chr10	 273076	+	     1	TRUE
chr10	 285439	+	     2	TRUE
chr10	 290269	+	     3	TRUE
chr10	 290302	+	     2	TRUE
chr10	 290316	+	     3	TRUE
